Année;Code région académique;Code région Insee;Libellé région académique;Discipline;IPS moyen;Caractéristiques;Score moyen;Ecart type;Groupe 1;Groupe 2;Groupe 3;Groupe 4;Groupe 5;Groupe 6
2025;04;24;CENTRE-VAL DE LOIRE;Français;103.5;Ensemble;253;47.1;12.2;16.6;21.2;20.0;14.5;15.5
2025;05;94;CORSE;Français;102.0;Fille;262;46.0;7.4;13.1;20.7;22.1;17.5;19.2
2025;05;94;CORSE;Mathématiques;102.0;Ensemble;256;51.0;12.6;16.9;20.2;18.2;12.8;19.3
2025;06;44;GRAND EST;Français;101.4;Garçon;248;47.3;15.4;17.5;21.1;19.2;13.3;13.6
2025;08;03;GUYANE;Français;81.5;Ensemble;206;48.2;53.1;17.3;11.8;8.3;5.0;4.4
2025;08;03;GUYANE;Mathématiques;81.5;Ensemble;200;44.2;59.4;17.7;10.5;6.1;3.4;2.9
2025;08;03;GUYANE;Mathématiques;81.5;Garçon;201;47.5;58.3;17.9;9.4;6.6;3.8;3.9
2025;10;11;ILE-DE-FRANCE;Français;112.6;Fille;267;51.9;8.5;13.2;18.3;19.4;16.3;24.2
2025;10;11;ILE-DE-FRANCE;Mathématiques;112.6;Ensemble;255;55.8;15.6;17.3;18.0;15.8;12.6;20.6
2025;10;11;ILE-DE-FRANCE;Mathématiques;112.6;Fille;250;52.7;16.7;19.1;19.2;15.9;12.0;17.1
2025;11;04;LA REUNION;Français;89.6;Fille;248;47.2;14.8;19.4;21.6;17.9;12.7;13.5
2025;12;02;MARTINIQUE;Mathématiques;100.9;Fille;233;47.5;26.0;22.1;19.0;14.1;9.2;9.5
2025;13;06;MAYOTTE;Français;69.8;Fille;192;38.4;65.1;17.6;9.8;4.2;1.9;1.3
2025;13;06;MAYOTTE;Mathématiques;69.8;Fille;183;35.1;75.2;15.4;6.1;2.2;0.8;0.4
2025;14;28;NORMANDIE;Mathématiques;103.4;Fille;244;47.6;17.4;20.6;20.8;17.1;11.6;12.4
2025;14;28;NORMANDIE;Mathématiques;103.4;Garçon;254;52.5;14.7;17.0;18.9;17.3;13.2;18.9
2025;15;75;NOUVELLE-AQUITAINE;Mathématiques;108.3;Ensemble;257;52.3;12.9;16.4;18.7;17.6;14.1;20.4
2025;16;76;OCCITANIE;Français;107.3;Ensemble;258;49.2;11.3;14.8;20.1;20.0;15.2;18.6
2025;16;76;OCCITANIE;Mathématiques;107.3;Fille;251;50.5;14.9;18.4;20.3;17.5;12.7;16.4
2025;18;93;PROVENCE-ALPES-COTE D'AZUR;Mathématiques;105.4;Ensemble;253;52.2;14.7;17.6;19.2;17.4;13.1;18.1
2025;;;NATIONAL;Français;106.2;Ensemble;256;49.7;12.6;15.4;19.9;19.5;14.8;17.8
